id,candidate,relevant_yn,relevant_yn_confidence,sentiment,sentiment_confidence,subject_matter,name,retweet_count,text,user_timezone,,,,,,,,,,,,,,tweet_created
1,No candidate mentioned,yes,1,Neutral,0.6578,None of the above,I_Am_Kenzi,5,RT @NancyLeeGrahn: How did everyone feel about the Climate Change question last night? Exactly. #GOPDebate,,Quito,,,,,,,,,,,,,01-07-2015 09:54
2,Scott Walker,yes,1,Positive,0.6333,None of the above,PeacefulQuest,26,RT @ScottWalker: Didn't catch the full #GOPdebate last night. Here are some of Scott's best lines in 90 seconds. #Walker16 http://t.co/ZSfF๏ฟฝ,,,,,,,,,,,,,,,01-08-2015 09:54
3,No candidate mentioned,yes,1,Neutral,0.6088,None of the above,I_Am_Kenzi,47,RT @NancyLeeGrahn: How did everyone feel about the Climate Change question last night? Exactly. #GOPDebate,,Quito,,,,,,,,,,,,,01-09-2015 09:54
4,Scott Walker,yes,1,Positive,0.5843,None of the above,PeacefulQuest,68,RT @ScottWalker: Didn't catch the full #GOPdebate last night. Here are some of Scott's best lines in 90 seconds. #Walker16 http://t.co/ZSfF๏ฟฝ,,,,,,,,,,,,,,,01-10-2015 09:54
6,Ted Cruz,yes,1,Positive,0.6332,None of the above,DRJohnson11,228,"RT @GregAbbott_TX: @TedCruz: ""On my first day I will rescind every illegal executive action taken by Barack Obama."" #GOPDebate @FoxNews",,Central Time (US & Canada),,,,,,,,,,,,,01-11-2015 09:54
7,No candidate mentioned,yes,1,Negative,0.6761,FOX News or Moderators,DebWilliams57,17,RT @warriorwoman91: I liked her and was happy when I heard she was going to be the moderator. Not anymore. #GOPDebate @megynkelly  https://๏ฟฝ,North Georgia,Eastern Time (US & Canada),,,,,,,,,,,,,01-12-2015 09:54
8,No candidate mentioned,yes,1,Neutral,1,None of the above,RaulAReyes,0,Going on #MSNBC Live with @ThomasARoberts around 2 PM ET.  #GOPDebate,New York NY,Eastern Time (US & Canada),,,,,,,,,,,,,1/13/2015 9:54
9,Ben Carson,yes,1,Negative,0.6889,None of the above,kengpdx,0,"Deer in the headlights RT @lizzwinstead: Ben Carson, may be the only brain surgeon who has performed a lobotomy on himself. #GOPDebate",,Pacific Time (US & Canada),,,,,,,,,,,,,1/14/2015 9:54
10,No candidate mentioned,yes,0.6778,Negative,0.6778,None of the above,Kathielarsyn,1,RT @NancyOsborne180: Last night's debate proved it! #GOPDebate #BATsAsk @BadassTeachersA #TBATs  https://t.co/G2gGjY1bJD,,,,,,,,,,,,,,,1/15/2015 9:54
11,Donald Trump,yes,1,Negative,1,None of the above,jnjsmom,0,@JGreenDC @realDonaldTrump In all fairness #BillClinton owns that phrase.#GOPDebate,"Peoria, IL",Central Time (US & Canada),,,,,,,,,,,,,1/16/2015 9:54
12,Mike Huckabee,yes,1,Positive,1,Foreign Policy,KLWorster,188,"RT @WayneDupreeShow: Just woke up to tweet this out #GOPDebate 

Best line of the night via @GovMikeHuckabee http://t.co/6OV5hxHIcV","Fargo, ND",Central Time (US & Canada),,,,,,,,,,,,,1/17/2015 9:54
13,No candidate mentioned,yes,1,Negative,0.6957,None of the above,wiggerblonde,0,Me reading my family's comments about how great the #GOPDebate was http://t.co/gIaGjPygXZ,,,,,,,,,,,,,,,1/18/2015 9:54
14,Jeb Bush,yes,1,Neutral,0.6421,Foreign Policy,NCBibleThumper,5,"RT @ArcticFox2016: RT @AllenWestRepub ""Dear @JebBush #GOPDebate #NotAMistake http://t.co/TtFG7KYcd9""","Montgomery, AL ",Central Time (US & Canada),,,,,,,,,,,,,1/19/2015 9:54
15,Scott Walker,yes,1,Positive,1,None of the above,In_Related_News,215,RT @pattonoswalt: I loved Scott Walker as Mark Harmon's romantic rival in SUMMER SCHOOL. Look it up. #GOPDebate,"San Diego, California",Pacific Time (US & Canada),,,,,,,,,,,,,1/20/2015 9:54
16,Chris Christie,yes,1,Negative,1,None of the above,MDiner92,0,Hey @ChrisChristie exploiting the tragedy of 9/11 for your own political gain is @rudygiulianiGOP's thing #GOPDebate,,Central Time (US & Canada),,,,,,,,,,,,,1/21/2015 9:54
17,Donald Trump,yes,0.6264,Negative,0.6264,Women's Issues (not abortion though),gina_catch22gg,45,RT @CarolCNN: #DonaldTrump under fire for comments about women @PeterBeinart @SL_Schaeffer @IWF @@MyRkiger weigh in on #GOPdebate http://t.๏ฟฝ,,,,,,,,,,,,,,,1/22/2015 9:54
18,Donald Trump,yes,1,Negative,0.6629,FOX News or Moderators,ERNESTZorro,7,RT @johncardillo: Guess who had most speaking time at the #GOPDebate. @FoxNews moderators with 31.7% of time. http://t.co/2WSUT0c0Lx,,Mountain Time (US & Canada),,,,,,,,,,,,,1/23/2015 9:54
19,No candidate mentioned,yes,1,Negative,1,None of the above,LordWhatAMess,0,reason comment is funny 'in case you're ignorant' is the #gop #tcot are the reason the government isn't working for the people #gopdebate,,Eastern Time (US & Canada),,,,,,,,,,,,,1/24/2015 9:54
20,Mike Huckabee,yes,1,Negative,0.6669,LGBT issues,oak523,93,"RT @PamelaGeller: Huckabee: Paying for transgender surgery for soldiers, sailors and airmen does not make our country safer #Ha #GOPDebate",NJ,Eastern Time (US & Canada),,,,,,,,,,,,,1/25/2015 9:54
21,Ted Cruz,yes,1,Positive,1,None of the above,rickymcghee,6,"RT @ChuckNellis: Cruz has class &amp; truth, that gets my vote! #GOPDebate","fripp island,sc/ southeast ga",,,,,,,,,,,,,,1/26/2015 9:54
22,Donald Trump,yes,0.6702,Negative,0.3511,None of the above,TeaTraitors,2,RT @mchamric: RT ๏ฟฝ๏ฟฝ๏ฟฝ@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/nwGx8G8,Conspiracy Theoryland,Pacific Time (US & Canada),,,,,,,,,,,,,1/27/2015 9:54
